iso3,country_name,indicator,indicator_name,year,value_percent,country_longitude,country_latitude,status
DMA,Dominica,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
DOM,Dominican Republic,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
ECU,Ecuador,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
EGY,Egypt,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
SLV,El Salvador,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
GNQ,Equatorial Guinea,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
ERI,Eritrea,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
EST,Estonia,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
SWZ,Eswatini,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
ETH,Ethiopia,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
FLK,Falkland Islands (Malvinas),EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
FRO,Faroe Islands,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
FJI,Fiji,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
FIN,Finland,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
FRA,France,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
GUF,French Guiana,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
PYF,French Polynesia,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
ATF,French Southern Territories,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
GAB,Gabon,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
GMB,Gambia,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
GEO,Georgia,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
DEU,Germany,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
GHA,Ghana,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
GIB,Gibraltar,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
GRC,Greece,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
GRL,Greenland,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
GRD,Grenada,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
GLP,Guadeloupe,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
GUM,Guam,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
GTM,Guatemala,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
GGY,Guernsey,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
GIN,Guinea,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
GNB,Guinea-Bissau,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
GUY,Guyana,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
HTI,Haiti,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
HMD,Heard Island and McDonald Islands,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
VAT,Holy See (Vatican City State),EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
HND,Honduras,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
HKG,Hong Kong,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
HUN,Hungary,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
ISL,Iceland,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
IND,India,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
IDN,Indonesia,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
IRN,"Iran, Islamic Republic of",EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
IRQ,Iraq,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
IRL,Ireland,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
IMN,Isle of Man,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
ISR,Israel,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
ITA,Italy,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
JAM,Jamaica,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
JPN,Japan,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
JEY,Jersey,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
JOR,Jordan,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
KAZ,Kazakhstan,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
KEN,Kenya,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
KIR,Kiribati,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
PRK,"Korea, Democratic People's Republic of",EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
KOR,"Korea, Republic of",EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
KWT,Kuwait,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
KGZ,Kyrgyzstan,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
LAO,Lao People's Democratic Republic,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
LVA,Latvia,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
LBN,Lebanon,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
LSO,Lesotho,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
LBR,Liberia,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
LBY,Libya,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
LIE,Liechtenstein,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
LTU,Lithuania,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
LUX,Luxembourg,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
MAC,Macao,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
MDG,Madagascar,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
MWI,Malawi,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
MYS,Malaysia,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
MDV,Maldives,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
MLI,Mali,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
MLT,Malta,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
MHL,Marshall Islands,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
MTQ,Martinique,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
MRT,Mauritania,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
MUS,Mauritius,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
MYT,Mayotte,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
MEX,Mexico,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
FSM,"Micronesia, Federated States of",EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
MDA,"Moldova, Republic of",EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
MCO,Monaco,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
